municipality,okres,kraj,population,smart_people_zmean,smart_people_n_indicators
Podolínec,Stará Ľubovňa,Prešovský,3052,-0.0417,23
Poltár,Poltár,Banskobystrický,5187,-0.1115,23
Poprad,Poprad,Prešovský,49091,-0.4079,23
Považská Bystrica,Považská Bystrica,Trenčiansky,37706,-0.4138,23
Prakovce,Gelnica,Košický,3230,0.0211,23
Prešov,Prešov,Prešovský,82927,-0.1831,23
Prievidza,Prievidza,Trenčiansky,43645,-0.4853,23
Púchov,Púchov,Trenčiansky,17068,-0.3025,23
Rabča,Námestovo,Žilinský,5266,-0.5474,23
Rajec,Žilina,Žilinský,5818,0.1398,23
Raková,Čadca,Žilinský,5645,-0.5598,23
Rakúsy,Kežmarok,Prešovský,3343,-0.6504,23
Revúca,Revúca,Banskobystrický,11109,-0.2917,23
Richnava,Gelnica,Košický,3354,-0.4848,23
Rimavská Sobota,Rimavská Sobota,Banskobystrický,21527,-0.3554,23
Rohožník,Malacky,Bratislavský,3564,0.4184,23
Rosina,Žilina,Žilinský,3343,-0.2073,23
Rovinka,Senec,Bratislavský,5808,0.1222,23
Rožňava,Rožňava,Košický,17122,-0.1001,23
Rudňany,Spišská Nová Ves,Košický,4901,-0.403,23
Ružomberok,Ružomberok,Žilinský,26794,-0.1167,23
Sabinov,Sabinov,Prešovský,12206,-0.2144,23
Sečovce,Trebišov,Košický,8524,-0.1937,23
Senec,Senec,Bratislavský,20115,0.0609,23
Senica,Senica,Trnavský,19430,-0.4608,23
Sereď,Galanta,Trnavský,15290,-0.385,23
Skalica,Skalica,Trnavský,15471,-0.2775,23
Skalité,Čadca,Žilinský,5242,-0.3376,23
Sládkovičovo,Galanta,Trnavský,5415,-0.1039,23
Sliač,Zvolen,Banskobystrický,4811,0.2737,23
Slovenská Ľupča,Banská Bystrica,Banskobystrický,3242,-0.372,23
Slovenský Grob,Pezinok,Bratislavský,5766,-0.0326,23
Smižany,Spišská Nová Ves,Košický,8823,-0.4542,23
Smolenice,Trnava,Trnavský,3262,-0.2281,23
Snina,Snina,Prešovský,18208,-0.573,23
Sobrance,Sobrance,Košický,5869,0.1209,23
Spišská Belá,Kežmarok,Prešovský,6668,-0.5174,23
Spišská Nová Ves,Spišská Nová Ves,Košický,34855,-0.2409,23
Spišské Podhradie,Levoča,Prešovský,3785,-0.1491,23
Spišské Vlachy,Spišská Nová Ves,Košický,3326,0.0852,23
Stará Ľubovňa,Stará Ľubovňa,Prešovský,15707,-0.2958,23
Stará Turá,Nové Mesto nad Váhom,Trenčiansky,8486,-0.4805,23
Strážske,Michalovce,Košický,4212,-0.0959,23
Stropkov,Stropkov,Prešovský,9883,-0.2687,23
Stupava,Malacky,Bratislavský,12685,0.0408,23
Sučany,Martin,Žilinský,4772,0.0222,23
Svätý Jur,Pezinok,Bratislavský,5945,0.0717,23
Svidník,Svidník,Prešovský,9909,0.3645,23
Svit,Poprad,Prešovský,7714,-0.3687,23
Svrčinovec,Čadca,Žilinský,3378,-0.2255,23
Šahy,Levice,Nitriansky,7069,0.1072,23
Šaľa,Šaľa,Nitriansky,20552,-0.5482,23
Šamorín,Dunajská Streda,Trnavský,13566,-0.3988,23
Šaštín-Stráže,Senica,Trnavský,4882,-0.5781,23
Šenkvice,Pezinok,Bratislavský,5301,0.0437,23
Šoporňa,Galanta,Trnavský,4105,-0.3892,23
Špačince,Trnava,Trnavský,3377,-0.1842,23
Štiavnik,Bytča,Žilinský,3971,-0.401,23
Štrba,Poprad,Prešovský,3364,-0.4139,23
Štúrovo,Nové Zámky,Nitriansky,9440,-0.3574,23
Šurany,Nové Zámky,Nitriansky,9326,-0.0927,23
Teplička nad Váhom,Žilina,Žilinský,4379,-0.0958,23
Terchová,Žilina,Žilinský,3973,-0.2208,23
Tešedíkovo,Šaľa,Nitriansky,3667,-0.0469,23
Tisovec,Rimavská Sobota,Banskobystrický,3664,0.1053,23
Tlmače,Levice,Nitriansky,3570,-0.2039,23
Topoľčany,Topoľčany,Nitriansky,24415,-0.0591,23
Topoľníky,Dunajská Streda,Trnavský,3170,-0.2845,23
Tornaľa,Revúca,Banskobystrický,6791,-0.7151,23
Trebišov,Trebišov,Košický,22890,-0.192,23
Trenčianska Teplá,Trenčín,Trenčiansky,4177,-0.3428,23
Trenčianska Turná,Trenčín,Trenčiansky,3576,-0.1974,23
Trenčianske Stankovce,Trenčín,Trenčiansky,3434,-0.4692,23
Trenčianske Teplice,Trenčín,Trenčiansky,3955,-0.0248,23
Trenčín,Trenčín,Trenčiansky,54107,-0.37,23
Trnava,Trnava,Trnavský,62806,-0.1821,23
Trstená,Tvrdošín,Žilinský,7019,0.0429,23
Trstice,Galanta,Trnavský,3871,-0.1252,23
Turany,Martin,Žilinský,4140,-0.2201,23
Turčianske Teplice,Turčianske Teplice,Žilinský,6248,-0.2098,23
Turňa nad Bodvou,Košice - okolie,Košický,3689,-0.1245,23
Turzovka,Čadca,Žilinský,7043,-0.3609,23
Tvrdošín,Tvrdošín,Žilinský,8812,-0.2137,23
Tvrdošovce,Nové Zámky,Nitriansky,5122,-0.3116,23
Valaliky,Košice - okolie,Košický,4497,-0.3547,23
Valaská,Brezno,Banskobystrický,3382,-0.2327,23
Varín,Žilina,Žilinský,3897,-0.0183,23
Veľká Ida,Košice - okolie,Košický,4064,-0.5596,23
Veľká Lomnica,Kežmarok,Prešovský,5301,-0.6826,23
Veľké Kapušany,Michalovce,Košický,8575,-0.5267,23
Veľké Leváre,Malacky,Bratislavský,3735,0.2906,23
Veľké Rovné,Bytča,Žilinský,3621,-0.5449,23
Veľké Úľany,Galanta,Trnavský,4855,-0.6192,23
Veľké Zálužie,Nitra,Nitriansky,4304,0.0716,23
Veľký Biel,Senec,Bratislavský,3051,0.3369,23
Veľký Krtíš,Veľký Krtíš,Banskobystrický,10647,-0.3538,23
Veľký Meder,Dunajská Streda,Trnavský,8301,-0.4851,23
Veľký Šariš,Prešov,Prešovský,6759,-0.5814,23
Višňové,Nové Mesto nad Váhom,Trenčiansky,3010,0.0887,23
Vlčany,Šaľa,Nitriansky,3136,-0.0898,23
Vráble,Nitra,Nitriansky,8432,-0.0776,23
Vranov nad Topľou,Vranov nad Topľou,Prešovský,20702,-0.3501,23
Vrbové,Piešťany,Trnavský,5637,-0.3556,23
Vrútky,Martin,Žilinský,7424,-0.1323,23
Vysoké Tatry,Poprad,Prešovský,3838,-0.4952,23
